genotype,concentration,length
Rsch-0,17,4.64
Se-0,17,12.63
Col-0,17,5.51
phyB-9,17,10.51
Ber-0,3.3,8.03
Br-0,3.3,10.7
Rsch-0,3.3,4.38
Se-0,3.3,9.74
Col-0,3.3,7.29
phyB-9,3.3,11.35
Ber-0,1.4,5.12
Br-0,1.4,9.07
Rsch-0,1.4,5.47
Se-0,1.4,9.76
Col-0,1.4,6.9
phyB-9,1.4,11.58
Ber-0,0.2,8.69
Br-0,0.2,10.74
Rsch-0,0.2,6.62
Se-0,0.2,8.22
Col-0,0.2,6.98
phyB-9,0.2,14.71
Ber-0,0.1,8.58
Br-0,0.1,10.27
Rsch-0,0.1,7.4
Se-0,0.1,9.74
Col-0,0.1,7.27
phyB-9,0.1,10.4
Ber-0,0.01,10.3
Br-0,0.01,10.09
Rsch-0,0.01,9.29
Se-0,0.01,8.15
Col-0,0.01,10.27
phyB-9,0.01,13.49
Ber-0,0,12.75
Br-0,0,12.41
Rsch-0,0,10.73
Se-0,0,13.79
Col-0,0,9.52
phyB-9,0,13.51
Ber-0,37,5.78
Br-0,37,10.17
Rsch-0,37,4.14
Se-0,37,8.29
Col-0,37,4.26
phyB-9,37,11.91
Ber-0,17,5.97
Br-0,17,9.88
Rsch-0,17,4.45
Se-0,17,11.65
Col-0,17,7.28
phyB-9,17,14.7
Ber-0,3.3,5.88
Br-0,3.3,8.49
Rsch-0,3.3,3.36
Se-0,3.3,10.1
Col-0,3.3,5.47
phyB-9,3.3,10.32
Ber-0,1.4,3.68
Br-0,1.4,8.37
Rsch-0,1.4,4.91
Se-0,1.4,12.76
Col-0,1.4,4.12
phyB-9,1.4,13.06
Ber-0,0.2,11.22
Br-0,0.2,9.06
Rsch-0,0.2,6.53
Se-0,0.2,12.59
Col-0,0.2,6
phyB-9,0.2,14.23
Ber-0,0.1,9.69
Br-0,0.1,10.85
Rsch-0,0.1,5.4
Se-0,0.1,14.38
Col-0,0.1,9.33
phyB-9,0.1,11.71
Ber-0,0.01,12.28
Br-0,0.01,10.72
Rsch-0,0.01,8
Se-0,0.01,7.8
Col-0,0.01,8.94
phyB-9,0.01,8.44
Ber-0,0,12.64
Br-0,0,14.32
Rsch-0,0,10.08
Se-0,0,9.57
Col-0,0,13.12
phyB-9,0,13.11
Ber-0,37,4.99
Br-0,37,8.58
Rsch-0,37,3.81
Se-0,37,9.17
Col-0,37,5.38
phyB-9,37,12.59
Ber-0,17,5.14
Br-0,17,8.63
Rsch-0,17,5.84
Se-0,17,11.07
Col-0,17,6.49
phyB-9,17,15.59
Ber-0,3.3,6.14
Br-0,3.3,11.02
Rsch-0,3.3,5.44
Se-0,3.3,10.94
Col-0,3.3,4.01
phyB-9,3.3,13.03
Ber-0,1.4,6.48
Br-0,1.4,5.83
Rsch-0,1.4,4.56
Se-0,1.4,7.99
Col-0,1.4,3.95
phyB-9,1.4,12.41
Ber-0,0.2,6.6
Br-0,0.2,8.82
Rsch-0,0.2,5.02
Se-0,0.2,12.15
Col-0,0.2,7.14
phyB-9,0.2,10.3
Ber-0,0.1,10.25
Br-0,0.1,11.1
Rsch-0,0.1,6.81
Se-0,0.1,13.87
Col-0,0.1,8.08
phyB-9,0.1,9.93
Ber-0,0.01,11.41
Br-0,0.01,7.64
Rsch-0,0.01,9.04
Se-0,0.01,10.54
