genotype,concentration,length
Col-0,0.01,9.42
Gie-0,0,10.66
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,NA
Gie-0,0.63,4.93
Gie-0,0.16,9.49
Gie-0,0.04,11.23
Gie-0,0.01,11.94
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,NA
RLD1,0,11.9
RLD1,25,1.15
RLD1,10,1.15
RLD1,2.5,1.68
RLD1,0.63,4.17
RLD1,0.16,6.42
RLD1,0.04,NA
RLD1,0.01,12.91
Se-0,0,NA
Se-0,25,NA
Se-0,10,2.24
Se-0,2.5,2.26
Se-0,0.63,4.17
Se-0,0.16,6.23
Se-0,0.04,8.42
Se-0,0.01,10.25
bzr22-1,0,NA
bzr22-1,25,NA
bzr22-1,10,NA
bzr22-1,2.5,NA
bzr22-1,0.63,NA
bzr22-1,0.16,NA
bzr22-1,0.04,NA
bzr22-1,0.01,5.24
Col-0,0,8.52
Col-0,25,NA
Col-0,10,1.07
Col-0,2.5,2.93
Col-0,0.63,NA
Col-0,0.16,6.86
Col-0,0.04,9.57
Col-0,0.01,11.82
Gie-0,0,10.99
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,NA
Gie-0,0.63,4.1
Gie-0,0.16,8.16
Gie-0,0.04,7.85
Gie-0,0.01,12.17
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,NA
RLD1,0,12.52
RLD1,25,1.01
RLD1,10,1.52
RLD1,2.5,1.35
RLD1,0.63,3.74
RLD1,0.16,6.69
RLD1,0.04,NA
RLD1,0.01,13.04
Se-0,0,NA
Se-0,25,NA
Se-0,10,1.91
Se-0,2.5,2.56
Se-0,0.63,5.64
Se-0,0.16,9.96
Se-0,0.04,NA
Se-0,0.01,7.72
bzr22-1,0,NA
bzr22-1,25,NA
bzr22-1,10,NA
bzr22-1,2.5,NA
bzr22-1,0.63,NA
bzr22-1,0.16,NA
bzr22-1,0.04,NA
bzr22-1,0.01,8.45
Col-0,0,12.12
Col-0,25,NA
Col-0,10,NA
Col-0,2.5,2.38
Col-0,0.63,NA
Col-0,0.16,7.97
Col-0,0.04,10.22
Col-0,0.01,9.82
Gie-0,0,10.35
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,NA
Gie-0,0.63,4.36
Gie-0,0.16,6.93
Gie-0,0.04,9.6
Gie-0,0.01,11.38
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,NA
RLD1,0,11.77
RLD1,25,1.35
RLD1,10,1.33
RLD1,2.5,1.73
RLD1,0.63,3.4
RLD1,0.16,5.79
RLD1,0.04,NA
RLD1,0.01,10.78
Se-0,0,NA
Se-0,25,NA
Se-0,10,2.59
Se-0,2.5,NA
Se-0,0.63,NA
Se-0,0.16,7.47
Se-0,0.04,NA
Se-0,0.01,8.95
bzr22-1,0,NA
bzr22-1,25,NA
bzr22-1,10,NA
bzr22-1,2.5,NA
bzr22-1,0.63,NA
bzr22-1,0.16,NA
bzr22-1,0.04,NA
bzr22-1,0.01,6.5
Col-0,0,NA
Col-0,25,NA
Col-0,10,NA
Col-0,2.5,3.12
Col-0,0.63,NA
Col-0,0.16,7.59
Col-0,0.04,10.61
Col-0,0.01,10.43
Gie-0,0,7.53
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,NA
Gie-0,0.63,5.39
Gie-0,0.16,7.07
Gie-0,0.04,10.89
Gie-0,0.01,12.71
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,NA
RLD1,0,10.58
RLD1,25,0.9
RLD1,10,1.58
RLD1,2.5,2
RLD1,0.63,3.51
RLD1,0.16,6.3
RLD1,0.04,NA
RLD1,0.01,10.4
Se-0,0,NA
Se-0,25,NA
Se-0,10,2.32
Se-0,2.5,NA
Se-0,0.63,NA
Se-0,0.16,7.98
Se-0,0.04,NA
Se-0,0.01,NA
bzr22-1,0,NA
bzr22-1,25,NA
bzr22-1,10,NA
bzr22-1,2.5,NA
bzr22-1,0.63,NA
bzr22-1,0.16,NA
bzr22-1,0.04,NA
bzr22-1,0.01,NA
Col-0,0,NA
Col-0,25,NA
Col-0,10,NA
Col-0,2.5,1.67
Col-0,0.63,NA
Col-0,0.16,NA
Col-0,0.04,NA
Col-0,0.01,11.09
Gie-0,0,NA
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,NA
Gie-0,0.63,3.9
Gie-0,0.16,7.86
Gie-0,0.04,NA
Gie-0,0.01,8.94
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,NA
RLD1,0,10.72
RLD1,25,1.09
RLD1,10,1.8
RLD1,2.5,1.89
RLD1,0.63,2.46
RLD1,0.16,6.7
RLD1,0.04,NA
RLD1,0.01,12.9
Se-0,0,NA
Se-0,25,NA
Se-0,10,2.97
Se-0,2.5,NA
Se-0,0.63,NA
Se-0,0.16,7.32
Se-0,0.04,NA
Se-0,0.01,NA
bzr22-1,0,NA
bzr22-1,25,NA
bzr22-1,10,NA
bzr22-1,2.5,NA
bzr22-1,0.63,NA
bzr22-1,0.16,NA
bzr22-1,0.04,NA
bzr22-1,0.01,NA
Col-0,0,NA
Col-0,25,NA
Col-0,10,NA
Col-0,2.5,NA
Col-0,0.63,NA
Col-0,0.16,NA
Col-0,0.04,NA
Col-0,0.01,10.22
Gie-0,0,NA
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,NA
Gie-0,0.63,3.91
Gie-0,0.16,6.63
Gie-0,0.04,NA
Gie-0,0.01,8.11
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,NA
RLD1,0,11.49
RLD1,25,1.07
RLD1,10,1.58
RLD1,2.5,1.82
RLD1,0.63,3.5
RLD1,0.16,7.28
RLD1,0.04,NA
RLD1,0.01,NA
Se-0,0,NA
Se-0,25,NA
Se-0,10,1.98
Se-0,2.5,NA
Se-0,0.63,NA
Se-0,0.16,6.38
Se-0,0.04,NA
Se-0,0.01,NA
bzr22-1,0,NA
bzr22-1,25,NA
bzr22-1,10,NA
bzr22-1,2.5,NA
bzr22-1,0.63,NA
bzr22-1,0.16,NA
bzr22-1,0.04,NA
bzr22-1,0.01,NA
Col-0,0,NA
Col-0,25,NA
Col-0,10,NA
Col-0,2.5,NA
Col-0,0.63,NA
Col-0,0.16,NA
Col-0,0.04,NA
Col-0,0.01,11.23
Gie-0,0,NA
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,NA
Gie-0,0.63,5.35
Gie-0,0.16,8.66
Gie-0,0.04,NA
Gie-0,0.01,9.88
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,NA
RLD1,0,NA
RLD1,25,1.19
RLD1,10,1.31
RLD1,2.5,2.12
RLD1,0.63,NA
RLD1,0.16,NA
RLD1,0.04,NA
RLD1,0.01,NA
Se-0,0,NA
Se-0,25,NA
Se-0,10,2.26
Se-0,2.5,NA
Se-0,0.63,NA
Se-0,0.16,NA
Se-0,0.04,NA
Se-0,0.01,NA
bzr22-1,0,NA
bzr22-1,25,NA
bzr22-1,10,NA
bzr22-1,2.5,NA
bzr22-1,0.63,NA
bzr22-1,0.16,NA
bzr22-1,0.04,NA
bzr22-1,0.01,NA
Col-0,0,NA
Col-0,25,NA
Col-0,10,NA
Col-0,2.5,NA
Col-0,0.63,NA
Col-0,0.16,NA
Col-0,0.04,NA
Col-0,0.01,NA
Gie-0,0,NA
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,NA
Gie-0,0.63,4.78
Gie-0,0.16,7.52
Gie-0,0.04,NA
Gie-0,0.01,9.34
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,NA
RLD1,0,NA
RLD1,25,1.11
RLD1,10,NA
RLD1,2.5,NA
RLD1,0.63,NA
RLD1,0.16,NA
RLD1,0.04,NA
RLD1,0.01,NA
Se-0,0,NA
Se-0,25,NA
Se-0,10,NA
Se-0,2.5,NA
Se-0,0.63,NA
Se-0,0.16,NA
Se-0,0.04,NA
Se-0,0.01,NA
bzr22-1,0,NA
bzr22-1,25,NA
bzr22-1,10,NA
bzr22-1,2.5,NA
bzr22-1,0.63,NA
bzr22-1,0.16,NA
bzr22-1,0.04,NA
bzr22-1,0.01,NA
Col-0,0,NA
Col-0,25,NA
Col-0,10,NA
Col-0,2.5,NA
Col-0,0.63,NA
Col-0,0.16,NA
Col-0,0.04,NA
Col-0,0.01,NA
Gie-0,0,NA
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,NA
Gie-0,0.63,5.6
Gie-0,0.16,8.28
Gie-0,0.04,NA
Gie-0,0.01,7.39
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,NA
RLD1,0,NA
RLD1,25,1.04
RLD1,10,NA
RLD1,2.5,NA
RLD1,0.63,NA
RLD1,0.16,NA
RLD1,0.04,NA
RLD1,0.01,NA
Se-0,0,NA
Se-0,25,NA
Se-0,10,NA
Se-0,2.5,NA
Se-0,0.63,NA
Se-0,0.16,NA
Se-0,0.04,NA
Se-0,0.01,NA
bzr22-1,0,NA
bzr22-1,25,NA
bzr22-1,10,NA
bzr22-1,2.5,NA
bzr22-1,0.63,NA
bzr22-1,0.16,NA
bzr22-1,0.04,NA
bzr22-1,0.01,NA
Col-0,0,NA
Col-0,25,NA
Col-0,10,NA
Col-0,2.5,NA
Col-0,0.63,NA
Col-0,0.16,NA
Col-0,0.04,NA
Col-0,0.01,NA
Gie-0,0,NA
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,NA
Gie-0,0.63,NA
Gie-0,0.16,5.16
Gie-0,0.04,NA
Gie-0,0.01,7.89
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,NA
RLD1,0,NA
RLD1,25,NA
RLD1,10,NA
RLD1,2.5,NA
RLD1,0.63,NA
RLD1,0.16,NA
RLD1,0.04,NA
RLD1,0.01,NA
Se-0,0,NA
Se-0,25,NA
Se-0,10,NA
Se-0,2.5,NA
Se-0,0.63,NA
Se-0,0.16,NA
Se-0,0.04,NA
Se-0,0.01,NA
bzr22-1,0,NA
bzr22-1,25,NA
bzr22-1,10,NA
bzr22-1,2.5,NA
bzr22-1,0.63,NA
bzr22-1,0.16,NA
bzr22-1,0.04,NA
bzr22-1,0.01,NA
Col-0,0,NA
Col-0,25,NA
Col-0,10,NA
Col-0,2.5,NA
Col-0,0.63,NA
Col-0,0.16,NA
Col-0,0.04,NA
Col-0,0.01,NA
Gie-0,0,NA
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,NA
Gie-0,0.63,NA
Gie-0,0.16,7.77
Gie-0,0.04,NA
Gie-0,0.01,7.49
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,NA
RLD1,0,NA
RLD1,25,NA
RLD1,10,NA
RLD1,2.5,NA
RLD1,0.63,NA
RLD1,0.16,NA
RLD1,0.04,NA
RLD1,0.01,NA
Se-0,0,NA
Se-0,25,NA
Se-0,10,NA
Se-0,2.5,NA
Se-0,0.63,NA
Se-0,0.16,NA
Se-0,0.04,NA
Se-0,0.01,NA
bzr22-1,0,NA
bzr22-1,25,NA
bzr22-1,10,NA
bzr22-1,2.5,NA
bzr22-1,0.63,NA
bzr22-1,0.16,NA
bzr22-1,0.04,NA
bzr22-1,0.01,NA
Col-0,0,NA
Col-0,25,NA
Col-0,10,NA
Col-0,2.5,NA
Col-0,0.63,NA
Col-0,0.16,NA
Col-0,0.04,NA
Col-0,0.01,NA
Gie-0,0,NA
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,NA
Gie-0,0.63,NA
Gie-0,0.16,NA
Gie-0,0.04,NA
Gie-0,0.01,NA
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,NA
RLD1,0,NA
RLD1,25,NA
RLD1,10,NA
RLD1,2.5,NA
RLD1,0.63,NA
RLD1,0.16,NA
RLD1,0.04,NA
RLD1,0.01,NA
Se-0,0,NA
Se-0,25,NA
Se-0,10,NA
Se-0,2.5,NA
Se-0,0.63,NA
Se-0,0.16,NA
Se-0,0.04,NA
Se-0,0.01,NA
bzr22-1,0,NA
bzr22-1,25,NA
bzr22-1,10,NA
bzr22-1,2.5,NA
bzr22-1,0.63,NA
bzr22-1,0.16,NA
bzr22-1,0.04,NA
bzr22-1,0.01,NA
Col-0,0,NA
Col-0,25,NA
Col-0,10,NA
Col-0,2.5,NA
Col-0,0.63,NA
Col-0,0.16,NA
Col-0,0.04,NA
Col-0,0.01,NA
Gie-0,0,NA
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,NA
Gie-0,0.63,NA
Gie-0,0.16,NA
Gie-0,0.04,NA
Gie-0,0.01,NA
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,NA
RLD1,0,NA
RLD1,25,NA
RLD1,10,NA
RLD1,2.5,NA
RLD1,0.63,NA
RLD1,0.16,NA
RLD1,0.04,NA
RLD1,0.01,NA
Se-0,0,NA
Se-0,25,NA
Se-0,10,NA
Se-0,2.5,NA
Se-0,0.63,NA
Se-0,0.16,NA
Se-0,0.04,NA
Se-0,0.01,NA
bzr22-1,0,NA
bzr22-1,25,NA
bzr22-1,10,NA
bzr22-1,2.5,NA
bzr22-1,0.63,NA
bzr22-1,0.16,NA
bzr22-1,0.04,NA
bzr22-1,0.01,NA
Col-0,0,NA
Col-0,25,NA
Col-0,10,NA
Col-0,2.5,NA
Col-0,0.63,NA
Col-0,0.16,NA
Col-0,0.04,NA
Col-0,0.01,NA
Gie-0,0,NA
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,NA
Gie-0,0.63,NA
Gie-0,0.16,NA
Gie-0,0.04,NA
Gie-0,0.01,NA
Nok-0,0,NA
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,NA
Nok-0,0.63,NA
Nok-0,0.16,NA
Nok-0,0.04,NA
Nok-0,0.01,NA
RLD1,0,NA
RLD1,25,NA
RLD1,10,NA
RLD1,2.5,NA
RLD1,0.63,NA
RLD1,0.16,NA
RLD1,0.04,NA
RLD1,0.01,NA
Se-0,0,NA
Se-0,25,NA
Se-0,10,NA
Se-0,2.5,NA
Se-0,0.63,NA
Se-0,0.16,NA
Se-0,0.04,NA
Se-0,0.01,NA
bzr22-1,0,NA
bzr22-1,25,NA
bzr22-1,10,NA
bzr22-1,2.5,NA
bzr22-1,0.63,NA
bzr22-1,0.16,NA
bzr22-1,0.04,NA
bzr22-1,0.01,NA
Col-0,0,NA
Col-0,25,NA
Col-0,10,NA
Col-0,2.5,NA
Col-0,0.63,NA
Col-0,0.16,NA
Col-0,0.04,NA
Col-0,0.01,NA
Gie-0,0,NA
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,NA
Gie-0,0.63,NA
Gie-0,0.16,NA
Gie-0,0.04,NA
Gie-0,0.01,NA
