genotype,concentration,length
RLD1,0,11.78
RLD1,25,1.41
RLD1,10,1.34
RLD1,2.5,2.43
RLD1,0.63,2.96
RLD1,0.16,6.87
RLD1,0.04,11.35
RLD1,0.01,12.48
Se-0,0,13.86
Se-0,25,1.47
Se-0,10,2.55
Se-0,2.5,3.75
Se-0,0.63,7.31
Se-0,0.16,7.8
Se-0,0.04,10.08
Se-0,0.01,13.66
bzr22-1,0,5.57
bzr22-1,25,6.71
bzr22-1,10,4.5
bzr22-1,2.5,4.48
bzr22-1,0.63,7.92
bzr22-1,0.16,5.92
bzr22-1,0.04,13.63
bzr22-1,0.01,6.68
Col-0,0,8.04
Col-0,25,1.19
Col-0,10,1.73
Col-0,2.5,2.63
Col-0,0.63,5
Col-0,0.16,8.74
Col-0,0.04,9.27
Col-0,0.01,7.3
Gie-0,0,14.32
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,3.31
Gie-0,0.63,2.93
Gie-0,0.16,8.37
Gie-0,0.04,9.67
Gie-0,0.01,11.14
Nok-0,0,11.54
Nok-0,25,NA
Nok-0,10,1.96
Nok-0,2.5,1.97
Nok-0,0.63,5.56
Nok-0,0.16,8.47
Nok-0,0.04,7.54
Nok-0,0.01,8.72
RLD1,0,12.99
RLD1,25,1.08
RLD1,10,0.93
RLD1,2.5,2.01
RLD1,0.63,2.66
RLD1,0.16,6.16
RLD1,0.04,11.29
RLD1,0.01,9.49
Se-0,0,14.58
Se-0,25,1.91
Se-0,10,1.74
Se-0,2.5,3.34
Se-0,0.63,6.72
Se-0,0.16,9.07
Se-0,0.04,13.08
Se-0,0.01,10.97
bzr22-1,0,9.59
bzr22-1,25,4.39
bzr22-1,10,4.98
bzr22-1,2.5,6.76
bzr22-1,0.63,5.81
bzr22-1,0.16,4.74
bzr22-1,0.04,6.56
bzr22-1,0.01,8.69
Col-0,0,12.31
Col-0,25,1.5
Col-0,10,1.44
Col-0,2.5,2.69
Col-0,0.63,4.91
Col-0,0.16,9.41
Col-0,0.04,12.19
Col-0,0.01,11.43
Gie-0,0,11.85
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,2.87
Gie-0,0.63,4.24
Gie-0,0.16,8.69
Gie-0,0.04,13.42
Gie-0,0.01,13.16
Nok-0,0,9.85
Nok-0,25,NA
Nok-0,10,1.93
Nok-0,2.5,2.69
Nok-0,0.63,3.48
Nok-0,0.16,7.33
Nok-0,0.04,7.55
Nok-0,0.01,6.54
RLD1,0,13.52
RLD1,25,1.36
RLD1,10,1.32
RLD1,2.5,1.95
RLD1,0.63,4.06
RLD1,0.16,8.51
RLD1,0.04,9.93
RLD1,0.01,11.9
Se-0,0,11.01
Se-0,25,1.62
Se-0,10,2.62
Se-0,2.5,4.83
Se-0,0.63,6.13
Se-0,0.16,10.23
Se-0,0.04,7.5
Se-0,0.01,8.76
bzr22-1,0,11.82
bzr22-1,25,5.06
bzr22-1,10,4.95
bzr22-1,2.5,6.26
bzr22-1,0.63,6.9
bzr22-1,0.16,6.69
bzr22-1,0.04,10.75
bzr22-1,0.01,10.77
Col-0,0,14.4
Col-0,25,1.83
Col-0,10,1.18
Col-0,2.5,1.99
Col-0,0.63,5.08
Col-0,0.16,8.23
Col-0,0.04,11.48
Col-0,0.01,11.58
Gie-0,0,16.38
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,3.12
Gie-0,0.63,5.1
Gie-0,0.16,6.32
Gie-0,0.04,10.7
Gie-0,0.01,12.58
Nok-0,0,10.82
Nok-0,25,NA
Nok-0,10,2.02
Nok-0,2.5,3.15
Nok-0,0.63,3.76
Nok-0,0.16,8.14
Nok-0,0.04,11.54
Nok-0,0.01,7.27
RLD1,0,13.19
RLD1,25,1.22
RLD1,10,1.02
RLD1,2.5,2.15
RLD1,0.63,3.19
RLD1,0.16,6.06
RLD1,0.04,9.53
RLD1,0.01,9.59
Se-0,0,9.33
Se-0,25,1.39
Se-0,10,2.68
Se-0,2.5,4.11
Se-0,0.63,7.33
Se-0,0.16,8.73
Se-0,0.04,7.61
Se-0,0.01,11.03
bzr22-1,0,9.72
bzr22-1,25,4.31
bzr22-1,10,5.64
bzr22-1,2.5,5.85
bzr22-1,0.63,6.23
bzr22-1,0.16,7.6
bzr22-1,0.04,7.88
bzr22-1,0.01,6.9
Col-0,0,9.67
Col-0,25,1.19
Col-0,10,1.58
Col-0,2.5,2.7
Col-0,0.63,4.69
Col-0,0.16,6.36
Col-0,0.04,10.7
Col-0,0.01,9.2
Gie-0,0,11.22
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,2.1
Gie-0,0.63,3.92
Gie-0,0.16,5.94
Gie-0,0.04,12.75
Gie-0,0.01,15.79
Nok-0,0,11.25
Nok-0,25,NA
Nok-0,10,2.17
Nok-0,2.5,2.9
Nok-0,0.63,2.8
Nok-0,0.16,7.35
Nok-0,0.04,8.35
Nok-0,0.01,10.41
RLD1,0,11.08
RLD1,25,1.05
RLD1,10,1
RLD1,2.5,1.81
RLD1,0.63,3.39
RLD1,0.16,6.01
RLD1,0.04,12.12
RLD1,0.01,12.86
Se-0,0,10.54
Se-0,25,1.36
Se-0,10,2.15
Se-0,2.5,3.44
Se-0,0.63,6.64
Se-0,0.16,10.71
Se-0,0.04,7.5
Se-0,0.01,11.03
bzr22-1,0,9.32
bzr22-1,25,6
bzr22-1,10,6.73
bzr22-1,2.5,4.67
bzr22-1,0.63,6.44
bzr22-1,0.16,6.94
bzr22-1,0.04,9.23
bzr22-1,0.01,8.64
Col-0,0,10.86
Col-0,25,1.26
Col-0,10,1.75
Col-0,2.5,3.2
Col-0,0.63,4.4
Col-0,0.16,6.17
Col-0,0.04,10.45
Col-0,0.01,9.63
Gie-0,0,13.53
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,3.39
Gie-0,0.63,4.17
Gie-0,0.16,7.53
Gie-0,0.04,15.04
Gie-0,0.01,9.64
Nok-0,0,9.85
Nok-0,25,NA
Nok-0,10,1.87
Nok-0,2.5,2.52
Nok-0,0.63,NA
Nok-0,0.16,5.69
Nok-0,0.04,9.1
Nok-0,0.01,7.43
RLD1,0,10.47
RLD1,25,0.92
RLD1,10,1.19
RLD1,2.5,2.11
RLD1,0.63,3.58
RLD1,0.16,6.3
RLD1,0.04,7.98
RLD1,0.01,10.14
Se-0,0,13.16
Se-0,25,1.82
Se-0,10,2.26
Se-0,2.5,3.28
Se-0,0.63,4.81
Se-0,0.16,5.74
Se-0,0.04,13.74
Se-0,0.01,14.38
bzr22-1,0,5.69
bzr22-1,25,3.72
bzr22-1,10,6
bzr22-1,2.5,4.76
bzr22-1,0.63,7.99
bzr22-1,0.16,7.5
bzr22-1,0.04,11.77
bzr22-1,0.01,9.29
Col-0,0,10.71
Col-0,25,1.44
Col-0,10,1.53
Col-0,2.5,2.43
Col-0,0.63,4.95
Col-0,0.16,8.35
Col-0,0.04,8.43
Col-0,0.01,10.36
Gie-0,0,9.96
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,2.93
Gie-0,0.63,4.56
Gie-0,0.16,8.27
Gie-0,0.04,11.52
Gie-0,0.01,12.53
Nok-0,0,11.62
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,2.97
Nok-0,0.63,NA
Nok-0,0.16,8.65
Nok-0,0.04,NA
Nok-0,0.01,8.63
RLD1,0,10.08
RLD1,25,1.06
RLD1,10,1.05
RLD1,2.5,2.2
RLD1,0.63,2.87
RLD1,0.16,6
RLD1,0.04,7.82
RLD1,0.01,12.49
Se-0,0,10.5
Se-0,25,1.94
Se-0,10,1.77
Se-0,2.5,4.2
Se-0,0.63,6.59
Se-0,0.16,12.45
Se-0,0.04,13.33
Se-0,0.01,7.45
bzr22-1,0,7.38
bzr22-1,25,4.13
bzr22-1,10,3.72
bzr22-1,2.5,6.24
bzr22-1,0.63,4.57
bzr22-1,0.16,6.52
bzr22-1,0.04,7.91
bzr22-1,0.01,10.96
Col-0,0,12.69
Col-0,25,1.26
Col-0,10,1.45
Col-0,2.5,2.49
Col-0,0.63,4.99
Col-0,0.16,6.75
Col-0,0.04,11.22
Col-0,0.01,9.21
Gie-0,0,13.53
Gie-0,25,NA
Gie-0,10,NA
Gie-0,2.5,2.38
Gie-0,0.63,4.98
Gie-0,0.16,6.07
Gie-0,0.04,9.66
Gie-0,0.01,9.02
Nok-0,0,10.74
Nok-0,25,NA
Nok-0,10,NA
Nok-0,2.5,1.73
Nok-0,0.63,NA
Nok-0,0.16,6.35
Nok-0,0.04,NA
Nok-0,0.01,11.65
RLD1,0,13.16
RLD1,25,1.11
RLD1,10,0.99
RLD1,2.5,2.19
RLD1,0.63,3.72
RLD1,0.16,6.1
RLD1,0.04,11.48
RLD1,0.01,10.55
Se-0,0,13.65
Se-0,25,1.09
Se-0,10,2.75
Se-0,2.5,4.75
Se-0,0.63,5.06
Se-0,0.16,7.08
Se-0,0.04,11.45
Se-0,0.01,11.29
bzr22-1,0,15.17
bzr22-1,25,5.52
bzr22-1,10,6.19
bzr22-1,2.5,5.33
bzr22-1,0.63,7.7
bzr22-1,0.16,8.15
bzr22-1,0.04,8.15
bzr22-1,0.01,7.29
Col-0,0,8.48
Col-0,25,1.53
Col-0,10,1.68
Col-0,2.5,2.39
Col-0,0.63,3.79
Col-0,0.16,4.49
