genotype,concentration,length
Sf-2,5.81,5.81
Mir-0,4.32,5.06
Gre-0,4.75,3.52
Mt-0,2.76,2.08
Col-0,3.39,NA
GA1,2.37,2.26
Sf-2,9.74,9.52
Mir-0,7.78,8.43
Gre-0,6.14,6.49
Mt-0,5.83,4.41
Col-0,3.11,NA
GA1,2.55,2.39
Sf-2,7.55,6.86
Mir-0,9.03,7.9
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,2.38
Sf-2,8.22,7.77
Mir-0,6.92,8.31
Gre-0,7.9,2.43
Mt-0,5.32,5.28
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,6.58
Mir-0,6.86,6.02
Gre-0,6.45,NA
Mt-0,5.29,3.69
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,5.85
Mir-0,6.96,6.05
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,4.46
Mir-0,4,4.48
Gre-0,5.31,NA
Mt-0,2.77,2.38
Col-0,3.36,NA
GA1,2.31,1.87
Sf-2,5.91,7.15
Mir-0,3.71,4.23
Gre-0,3.88,2.59
Mt-0,3.37,2.11
Col-0,2.48,NA
GA1,2.56,2.31
Sf-2,5.81,5.42
Mir-0,4.32,4.27
Gre-0,4.75,3.94
Mt-0,2.76,1.8
Col-0,3.39,NA
GA1,2.37,1.99
Sf-2,9.74,10.16
Mir-0,7.78,8.33
Gre-0,6.14,7.87
Mt-0,5.83,5.08
Col-0,3.11,NA
GA1,2.55,2.24
Sf-2,7.55,6.69
Mir-0,9.03,7.96
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,8.92
Mir-0,6.92,8.01
Gre-0,7.9,5.2
Mt-0,5.32,3.7
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,5.31
Gre-0,6.45,NA
Mt-0,5.29,5.14
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,6.31
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,3.87
Mir-0,4,4.05
Gre-0,5.31,NA
Mt-0,2.77,3.01
Col-0,3.36,NA
GA1,2.31,2.13
Sf-2,5.91,7.04
Mir-0,3.71,2.82
Gre-0,3.88,3.37
Mt-0,3.37,2.3
Col-0,2.48,NA
GA1,2.56,1.96
Sf-2,5.81,4.37
Mir-0,4.32,3.84
Gre-0,4.75,3.62
Mt-0,2.76,2.68
Col-0,3.39,NA
GA1,2.37,2.2
Sf-2,9.74,10.54
Mir-0,7.78,7.14
Gre-0,6.14,8.16
Mt-0,5.83,4.94
Col-0,3.11,NA
GA1,2.55,2.48
Sf-2,7.55,10.33
Mir-0,9.03,8.45
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,8.89
Mir-0,6.92,8.19
Gre-0,7.9,3.84
Mt-0,5.32,5.16
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,6.92
Gre-0,6.45,NA
Mt-0,5.29,4.23
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,6.42
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,3.68
Mir-0,4,4.78
Gre-0,5.31,NA
Mt-0,2.77,2.43
Col-0,3.36,NA
GA1,2.31,2.2
Sf-2,5.91,5.82
Mir-0,3.71,4.82
Gre-0,3.88,4.94
Mt-0,3.37,2.93
Col-0,2.48,NA
GA1,2.56,2.14
Sf-2,5.81,5.51
Mir-0,4.32,5.89
Gre-0,4.75,2.49
Mt-0,2.76,1.81
Col-0,3.39,NA
GA1,2.37,2.16
Sf-2,9.74,10.2
Mir-0,7.78,8.5
Gre-0,6.14,7.99
Mt-0,5.83,5.81
Col-0,3.11,NA
GA1,2.55,2.3
Sf-2,7.55,8.74
Mir-0,9.03,8.39
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,7.32
Mir-0,6.92,6.61
Gre-0,7.9,3.87
Mt-0,5.32,6.3
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,5.75
Gre-0,6.45,NA
Mt-0,5.29,NA
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,NA
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,5.19
Mir-0,4,4.59
Gre-0,5.31,NA
Mt-0,2.77,3.68
Col-0,3.36,NA
GA1,2.31,1.96
Sf-2,5.91,5.32
Mir-0,3.71,3.98
Gre-0,3.88,4.67
Mt-0,3.37,3.05
Col-0,2.48,NA
GA1,2.56,2.22
Sf-2,5.81,5.47
Mir-0,4.32,4.57
Gre-0,4.75,2.85
Mt-0,2.76,2.43
Col-0,3.39,NA
GA1,2.37,2.76
Sf-2,9.74,9
Mir-0,7.78,8.35
Gre-0,6.14,4.99
Mt-0,5.83,4.5
Col-0,3.11,NA
GA1,2.55,2.34
Sf-2,7.55,7.17
Mir-0,9.03,7.84
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,7.33
Mir-0,6.92,8.36
Gre-0,7.9,NA
Mt-0,5.32,NA
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,7
Gre-0,6.45,NA
Mt-0,5.29,NA
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,NA
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,5.07
Mir-0,4,3.94
Gre-0,5.31,NA
Mt-0,2.77,3.08
Col-0,3.36,NA
GA1,2.31,1.36
Sf-2,5.91,5.37
Mir-0,3.71,3.8
Gre-0,3.88,2.96
Mt-0,3.37,3.18
Col-0,2.48,NA
GA1,2.56,2.15
Sf-2,5.81,2.07
Mir-0,4.32,3.98
Gre-0,4.75,2.64
Mt-0,2.76,3.47
Col-0,3.39,NA
GA1,2.37,2.43
Sf-2,9.74,5.64
Mir-0,7.78,9.22
Gre-0,6.14,7.37
Mt-0,5.83,3.17
Col-0,3.11,NA
GA1,2.55,1.63
Sf-2,7.55,NA
Mir-0,9.03,8.48
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,6.15
Mir-0,6.92,7.2
Gre-0,7.9,NA
Mt-0,5.32,NA
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,5.77
Gre-0,6.45,NA
Mt-0,5.29,NA
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,NA
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,4.42
Mir-0,4,5.72
Gre-0,5.31,NA
Mt-0,2.77,2.35
Col-0,3.36,NA
GA1,2.31,2.29
Sf-2,5.91,6.91
Mir-0,3.71,3.32
Gre-0,3.88,3.25
Mt-0,3.37,1.87
Col-0,2.48,NA
GA1,2.56,1.85
Sf-2,5.81,3.42
Mir-0,4.32,4.39
Gre-0,4.75,2.13
Mt-0,2.76,2.96
Col-0,3.39,NA
GA1,2.37,2.16
Sf-2,9.74,9.56
Mir-0,7.78,7.77
Gre-0,6.14,6.3
Mt-0,5.83,4.89
Col-0,3.11,NA
GA1,2.55,2.05
Sf-2,7.55,NA
Mir-0,9.03,9.28
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,7.63
Mir-0,6.92,8.59
Gre-0,7.9,NA
Mt-0,5.32,NA
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,5.65
Gre-0,6.45,NA
Mt-0,5.29,NA
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,NA
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,NA
Mir-0,4,4.26
Gre-0,5.31,NA
Mt-0,2.77,2.3
Col-0,3.36,NA
GA1,2.31,1.33
Sf-2,5.91,5.71
Mir-0,3.71,4.25
Gre-0,3.88,3.47
Mt-0,3.37,1.99
Col-0,2.48,NA
GA1,2.56,1.94
Sf-2,5.81,NA
Mir-0,4.32,3.32
Gre-0,4.75,NA
Mt-0,2.76,2.64
Col-0,3.39,NA
GA1,2.37,1.82
Sf-2,9.74,NA
Mir-0,7.78,7.43
Gre-0,6.14,4.7
Mt-0,5.83,4.62
Col-0,3.11,NA
GA1,2.55,1.39
Sf-2,7.55,NA
Mir-0,9.03,7.52
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,7.85
Mir-0,6.92,7.01
Gre-0,7.9,NA
Mt-0,5.32,NA
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,NA
Gre-0,6.45,NA
Mt-0,5.29,NA
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,NA
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,NA
Mir-0,4,4.62
Gre-0,5.31,NA
Mt-0,2.77,NA
Col-0,3.36,NA
GA1,2.31,1.61
Sf-2,5.91,5.22
Mir-0,3.71,3.38
Gre-0,3.88,4.18
Mt-0,3.37,2.17
Col-0,2.48,NA
GA1,2.56,2.02
Sf-2,5.81,NA
Mir-0,4.32,5.52
Gre-0,4.75,NA
Mt-0,2.76,2.89
Col-0,3.39,NA
GA1,2.37,1.79
Sf-2,9.74,NA
Mir-0,7.78,9.08
Gre-0,6.14,5.37
Mt-0,5.83,5.24
Col-0,3.11,NA
GA1,2.55,2.34
Sf-2,7.55,NA
Mir-0,9.03,7.4
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,6.99
Mir-0,6.92,7.44
Gre-0,7.9,NA
Mt-0,5.32,NA
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,NA
Gre-0,6.45,NA
Mt-0,5.29,NA
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,NA
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,NA
Mir-0,4,4.88
Gre-0,5.31,NA
Mt-0,2.77,NA
Col-0,3.36,NA
GA1,2.31,NA
Sf-2,5.91,4.93
Mir-0,3.71,3.69
Gre-0,3.88,4.9
Mt-0,3.37,NA
Col-0,2.48,NA
GA1,2.56,2.28
Sf-2,5.81,NA
Mir-0,4.32,4.41
Gre-0,4.75,NA
Mt-0,2.76,2.35
Col-0,3.39,NA
GA1,2.37,2.27
Sf-2,9.74,NA
Mir-0,7.78,6.6
Gre-0,6.14,5.4
Mt-0,5.83,5.04
Col-0,3.11,NA
GA1,2.55,1.48
Sf-2,7.55,NA
Mir-0,9.03,8.6
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,NA
Mir-0,6.92,7.43
Gre-0,7.9,NA
Mt-0,5.32,NA
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,NA
Gre-0,6.45,NA
Mt-0,5.29,NA
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,NA
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,NA
Mir-0,4,3.4
Gre-0,5.31,NA
Mt-0,2.77,NA
Col-0,3.36,NA
GA1,2.31,NA
Sf-2,5.91,5.21
Mir-0,3.71,4.64
Gre-0,3.88,4.7
Mt-0,3.37,NA
Col-0,2.48,NA
GA1,2.56,1.56
Sf-2,5.81,NA
Mir-0,4.32,3.38
Gre-0,4.75,NA
Mt-0,2.76,2.51
Col-0,3.39,NA
GA1,2.37,NA
Sf-2,9.74,NA
Mir-0,7.78,9.32
Gre-0,6.14,NA
Mt-0,5.83,5.01
Col-0,3.11,NA
GA1,2.55,NA
Sf-2,7.55,NA
Mir-0,9.03,7.04
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,NA
Mir-0,6.92,7.24
Gre-0,7.9,NA
Mt-0,5.32,NA
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,NA
Gre-0,6.45,NA
Mt-0,5.29,NA
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,NA
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,NA
Mir-0,4,4.93
Gre-0,5.31,NA
Mt-0,2.77,NA
Col-0,3.36,NA
GA1,2.31,NA
Sf-2,5.91,5.97
Mir-0,3.71,4.53
Gre-0,3.88,4.83
Mt-0,3.37,NA
Col-0,2.48,NA
GA1,2.56,2.01
Sf-2,5.81,NA
Mir-0,4.32,3.65
Gre-0,4.75,NA
Mt-0,2.76,2.27
Col-0,3.39,NA
GA1,2.37,NA
Sf-2,9.74,NA
Mir-0,7.78,8.56
Gre-0,6.14,NA
Mt-0,5.83,3.83
Col-0,3.11,NA
GA1,2.55,NA
Sf-2,7.55,NA
Mir-0,9.03,7.14
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,NA
Mir-0,6.92,7.07
Gre-0,7.9,NA
Mt-0,5.32,NA
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,NA
Gre-0,6.45,NA
Mt-0,5.29,NA
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,NA
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,NA
Mir-0,4,3.99
Gre-0,5.31,NA
Mt-0,2.77,NA
Col-0,3.36,NA
GA1,2.31,NA
Sf-2,5.91,5.97
Mir-0,3.71,3.62
Gre-0,3.88,2.21
Mt-0,3.37,NA
Col-0,2.48,NA
GA1,2.56,2.01
Sf-2,5.81,NA
Mir-0,4.32,4.46
Gre-0,4.75,NA
Mt-0,2.76,2.81
Col-0,3.39,NA
GA1,2.37,NA
Sf-2,9.74,NA
Mir-0,7.78,8.35
Gre-0,6.14,NA
Mt-0,5.83,4.14
Col-0,3.11,NA
GA1,2.55,NA
Sf-2,7.55,NA
Mir-0,9.03,NA
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,NA
Mir-0,6.92,6.72
Gre-0,7.9,NA
Mt-0,5.32,NA
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,NA
Gre-0,6.45,NA
Mt-0,5.29,NA
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,NA
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,NA
Mir-0,4,4.8
Gre-0,5.31,NA
Mt-0,2.77,NA
Col-0,3.36,NA
GA1,2.31,NA
Sf-2,5.91,5.94
Mir-0,3.71,5.09
Gre-0,3.88,1.68
Mt-0,3.37,NA
Col-0,2.48,NA
GA1,2.56,NA
Sf-2,5.81,NA
Mir-0,4.32,3.24
Gre-0,4.75,NA
Mt-0,2.76,2.73
Col-0,3.39,NA
GA1,2.37,NA
Sf-2,9.74,NA
Mir-0,7.78,7.81
Gre-0,6.14,NA
Mt-0,5.83,4.17
Col-0,3.11,NA
GA1,2.55,NA
Sf-2,7.55,NA
Mir-0,9.03,NA
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,NA
Mir-0,6.92,7.66
Gre-0,7.9,NA
Mt-0,5.32,NA
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,NA
Gre-0,6.45,NA
Mt-0,5.29,NA
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,NA
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,NA
Mir-0,4,3.82
Gre-0,5.31,NA
Mt-0,2.77,NA
Col-0,3.36,NA
GA1,2.31,NA
Sf-2,5.91,5.82
Mir-0,3.71,4.21
Gre-0,3.88,1.85
Mt-0,3.37,NA
Col-0,2.48,NA
GA1,2.56,NA
Sf-2,5.81,NA
Mir-0,4.32,4.16
Gre-0,4.75,NA
Mt-0,2.76,2.23
Col-0,3.39,NA
GA1,2.37,NA
Sf-2,9.74,NA
Mir-0,7.78,5.91
Gre-0,6.14,NA
Mt-0,5.83,3.18
Col-0,3.11,NA
GA1,2.55,NA
Sf-2,7.55,NA
Mir-0,9.03,NA
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,NA
Mir-0,6.92,8.37
Gre-0,7.9,NA
Mt-0,5.32,NA
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,NA
Gre-0,6.45,NA
Mt-0,5.29,NA
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,NA
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,NA
Mir-0,4,4.92
Gre-0,5.31,NA
Mt-0,2.77,NA
Col-0,3.36,NA
GA1,2.31,NA
Sf-2,5.91,2.07
Mir-0,3.71,5.06
Gre-0,3.88,1.73
Mt-0,3.37,NA
Col-0,2.48,NA
GA1,2.56,NA
Sf-2,5.81,NA
Mir-0,4.32,5.19
Gre-0,4.75,NA
Mt-0,2.76,3.13
Col-0,3.39,NA
GA1,2.37,NA
Sf-2,9.74,NA
Mir-0,7.78,NA
Gre-0,6.14,NA
Mt-0,5.83,4.51
Col-0,3.11,NA
GA1,2.55,NA
Sf-2,7.55,NA
Mir-0,9.03,NA
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,NA
Mir-0,6.92,7.45
Gre-0,7.9,NA
Mt-0,5.32,NA
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,NA
Gre-0,6.45,NA
Mt-0,5.29,NA
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,NA
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,NA
Mir-0,4,5.08
Gre-0,5.31,NA
Mt-0,2.77,NA
Col-0,3.36,NA
GA1,2.31,NA
Sf-2,5.91,2.45
Mir-0,3.71,4.25
Gre-0,3.88,3.19
Mt-0,3.37,NA
Col-0,2.48,NA
GA1,2.56,NA
Sf-2,5.81,NA
Mir-0,4.32,3.73
Gre-0,4.75,NA
Mt-0,2.76,2.41
Col-0,3.39,NA
GA1,2.37,NA
Sf-2,9.74,NA
Mir-0,7.78,NA
Gre-0,6.14,NA
Mt-0,5.83,5.26
Col-0,3.11,NA
GA1,2.55,NA
Sf-2,7.55,NA
Mir-0,9.03,NA
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,NA
Mir-0,6.92,NA
Gre-0,7.9,NA
Mt-0,5.32,NA
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,NA
Gre-0,6.45,NA
Mt-0,5.29,NA
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,NA
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,NA
Mir-0,4,5.19
Gre-0,5.31,NA
Mt-0,2.77,NA
Col-0,3.36,NA
GA1,2.31,NA
Sf-2,5.91,NA
Mir-0,3.71,2.11
Gre-0,3.88,2.13
Mt-0,3.37,NA
Col-0,2.48,NA
GA1,2.56,NA
Sf-2,5.81,NA
Mir-0,4.32,3.3
Gre-0,4.75,NA
Mt-0,2.76,1.73
Col-0,3.39,NA
GA1,2.37,NA
Sf-2,9.74,NA
Mir-0,7.78,NA
Gre-0,6.14,NA
Mt-0,5.83,5.17
Col-0,3.11,NA
GA1,2.55,NA
Sf-2,7.55,NA
Mir-0,9.03,NA
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,NA
Mir-0,6.92,NA
Gre-0,7.9,NA
Mt-0,5.32,NA
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,NA
Gre-0,6.45,NA
Mt-0,5.29,NA
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,NA
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,NA
Mir-0,4,4.15
Gre-0,5.31,NA
Mt-0,2.77,NA
Col-0,3.36,NA
GA1,2.31,NA
Sf-2,5.91,NA
Mir-0,3.71,3.73
Gre-0,3.88,NA
Mt-0,3.37,NA
Col-0,2.48,NA
GA1,2.56,NA
Sf-2,5.81,NA
Mir-0,4.32,4.05
Gre-0,4.75,NA
Mt-0,2.76,2.36
Col-0,3.39,NA
GA1,2.37,NA
Sf-2,9.74,NA
Mir-0,7.78,NA
Gre-0,6.14,NA
Mt-0,5.83,4.87
Col-0,3.11,NA
GA1,2.55,NA
Sf-2,7.55,NA
Mir-0,9.03,NA
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,NA
Mir-0,6.92,NA
Gre-0,7.9,NA
Mt-0,5.32,NA
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,NA
Gre-0,6.45,NA
Mt-0,5.29,NA
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,NA
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,NA
Mir-0,4,3.66
Gre-0,5.31,NA
Mt-0,2.77,NA
Col-0,3.36,NA
GA1,2.31,NA
Sf-2,5.91,NA
Mir-0,3.71,4.27
Gre-0,3.88,NA
Mt-0,3.37,NA
Col-0,2.48,NA
GA1,2.56,NA
Sf-2,5.81,NA
Mir-0,4.32,3.23
Gre-0,4.75,NA
Mt-0,2.76,3.04
Col-0,3.39,NA
GA1,2.37,NA
Sf-2,9.74,NA
Mir-0,7.78,NA
Gre-0,6.14,NA
Mt-0,5.83,4.45
Col-0,3.11,NA
GA1,2.55,NA
Sf-2,7.55,NA
Mir-0,9.03,NA
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,NA
Mir-0,6.92,NA
Gre-0,7.9,NA
Mt-0,5.32,NA
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,NA
Gre-0,6.45,NA
Mt-0,5.29,NA
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,NA
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,NA
Mir-0,4,5.91
Gre-0,5.31,NA
Mt-0,2.77,NA
Col-0,3.36,NA
GA1,2.31,NA
Sf-2,5.91,NA
Mir-0,3.71,3.76
Gre-0,3.88,NA
Mt-0,3.37,NA
Col-0,2.48,NA
GA1,2.56,NA
Sf-2,5.81,NA
Mir-0,4.32,4.98
Gre-0,4.75,NA
Mt-0,2.76,2.29
Col-0,3.39,NA
GA1,2.37,NA
Sf-2,9.74,NA
Mir-0,7.78,NA
Gre-0,6.14,NA
Mt-0,5.83,4.25
Col-0,3.11,NA
GA1,2.55,NA
Sf-2,7.55,NA
Mir-0,9.03,NA
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,NA
Mir-0,6.92,NA
Gre-0,7.9,NA
Mt-0,5.32,NA
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,NA
Gre-0,6.45,NA
Mt-0,5.29,NA
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,NA
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,NA
Mir-0,4,NA
Gre-0,5.31,NA
Mt-0,2.77,NA
Col-0,3.36,NA
GA1,2.31,NA
Sf-2,5.91,NA
Mir-0,3.71,4.3
Gre-0,3.88,NA
Mt-0,3.37,NA
Col-0,2.48,NA
GA1,2.56,NA
Sf-2,5.81,NA
Mir-0,4.32,4.66
Gre-0,4.75,NA
Mt-0,2.76,2.46
Col-0,3.39,NA
GA1,2.37,NA
Sf-2,9.74,NA
Mir-0,7.78,NA
Gre-0,6.14,NA
Mt-0,5.83,3.95
Col-0,3.11,NA
GA1,2.55,NA
Sf-2,7.55,NA
Mir-0,9.03,NA
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,NA
Mir-0,6.92,NA
Gre-0,7.9,NA
Mt-0,5.32,NA
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,NA
Gre-0,6.45,NA
Mt-0,5.29,NA
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,NA
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,NA
Mir-0,4,NA
Gre-0,5.31,NA
Mt-0,2.77,NA
Col-0,3.36,NA
GA1,2.31,NA
Sf-2,5.91,NA
Mir-0,3.71,2.98
Gre-0,3.88,NA
Mt-0,3.37,NA
Col-0,2.48,NA
GA1,2.56,NA
Sf-2,5.81,NA
Mir-0,4.32,3.94
Gre-0,4.75,NA
Mt-0,2.76,1.69
Col-0,3.39,NA
GA1,2.37,NA
Sf-2,9.74,NA
Mir-0,7.78,NA
Gre-0,6.14,NA
Mt-0,5.83,NA
Col-0,3.11,NA
GA1,2.55,NA
Sf-2,7.55,NA
Mir-0,9.03,NA
Gre-0,6.64,NA
Mt-0,5.05,NA
Col-0,4.71,NA
GA1,2.02,NA
Sf-2,8.22,NA
Mir-0,6.92,NA
Gre-0,7.9,NA
Mt-0,5.32,NA
Col-0,5.09,NA
GA1,2.25,NA
Sf-2,8.37,NA
Mir-0,6.86,NA
Gre-0,6.45,NA
Mt-0,5.29,NA
Col-0,3.35,NA
GA1,2.58,NA
Sf-2,7.52,NA
Mir-0,6.96,NA
Gre-0,4.67,NA
Mt-0,2.89,NA
Col-0,2.12,NA
GA1,2.07,NA
Sf-2,5.99,NA
Mir-0,4,NA
Gre-0,5.31,NA
Mt-0,2.77,NA
Col-0,3.36,NA
