genotype,concentration,length
phyA 211,0,12.62
Lm-2,19,1.48
Kas1-1,19,1.64
Or-0,19,0.8
Pi-0,19,0.86
Col-0,19,1.14
phyA 211,19,9.46
Lm-2,4.9,5.14
Kas1-1,4.9,1.87
Or-0,4.9,0.82
Pi-0,4.9,1.1
Col-0,4.9,1.15
phyA 211,4.9,10.2
Lm-2,1.2,11.84
Kas1-1,1.2,2.39
Or-0,1.2,0.91
Pi-0,1.2,1.08
Col-0,1.2,0.83
phyA 211,1.2,7.94
Lm-2,0.44,11.11
Kas1-1,0.44,6.57
Or-0,0.44,3.4
Pi-0,0.44,2.95
Col-0,0.44,3.63
phyA 211,0.44,14.26
Lm-2,0.14,13.81
Kas1-1,0.14,9.02
Or-0,0.14,6.37
Pi-0,0.14,9.31
Col-0,0.14,8.56
phyA 211,0.14,8.17
Lm-2,0.03,12.35
Kas1-1,0.03,9.08
Or-0,0.03,10.59
Pi-0,0.03,10.88
Col-0,0.03,9.47
phyA 211,0.03,13.15
Lm-2,0.01,12.4
Kas1-1,0.01,10.1
Or-0,0.01,8.98
Pi-0,0.01,8.08
Col-0,0.01,10.32
phyA 211,0.01,11.06
Lm-2,0,13.56
Kas1-1,0,10.3
Or-0,0,13.67
Pi-0,0,12.42
Col-0,0,12.83
phyA 211,0,9.09
Lm-2,19,1.87
Kas1-1,19,1.43
Or-0,19,0.76
Pi-0,19,0.66
Col-0,19,1
phyA 211,19,9.38
Lm-2,4.9,6.36
Kas1-1,4.9,2.45
Or-0,4.9,0.99
Pi-0,4.9,1.34
Col-0,4.9,0.94
phyA 211,4.9,10.68
Lm-2,1.2,9.39
Kas1-1,1.2,3.25
Or-0,1.2,1.1
Pi-0,1.2,2
Col-0,1.2,1
phyA 211,1.2,10.87
Lm-2,0.44,10.77
Kas1-1,0.44,6.78
Or-0,0.44,3.05
Pi-0,0.44,2.79
Col-0,0.44,3.32
phyA 211,0.44,11.62
Lm-2,0.14,12.29
Kas1-1,0.14,8.46
Or-0,0.14,6.86
Pi-0,0.14,7.11
Col-0,0.14,10.17
phyA 211,0.14,10.23
Lm-2,0.03,11.39
Kas1-1,0.03,9.55
Or-0,0.03,8.9
Pi-0,0.03,12.17
Col-0,0.03,9.43
phyA 211,0.03,10.91
Lm-2,0.01,11.84
Kas1-1,0.01,12.07
Or-0,0.01,9.82
Pi-0,0.01,10.41
Col-0,0.01,9.85
phyA 211,0.01,10.1
Lm-2,0,14.66
Kas1-1,0,9.36
Or-0,0,14.97
Pi-0,0,8.76
Col-0,0,10.32
phyA 211,0,11.73
Lm-2,19,1.49
Kas1-1,19,1.6
Or-0,19,0.83
Pi-0,19,0.7
Col-0,19,1.02
phyA 211,19,9.27
Lm-2,4.9,4.14
Kas1-1,4.9,2.07
Or-0,4.9,1.08
Pi-0,4.9,1.25
Col-0,4.9,0.69
phyA 211,4.9,13.06
Lm-2,1.2,9.01
Kas1-1,1.2,2.03
Or-0,1.2,1.73
Pi-0,1.2,0.77
Col-0,1.2,1.78
phyA 211,1.2,11.92
Lm-2,0.44,11.52
Kas1-1,0.44,5.16
Or-0,0.44,2.06
Pi-0,0.44,2
Col-0,0.44,3.3
phyA 211,0.44,11.06
Lm-2,0.14,11.6
Kas1-1,0.14,13.98
Or-0,0.14,7.44
Pi-0,0.14,6.28
Col-0,0.14,8.58
phyA 211,0.14,11.69
Lm-2,0.03,14.88
Kas1-1,0.03,11.87
Or-0,0.03,7.68
Pi-0,0.03,10.39
Col-0,0.03,10.59
phyA 211,0.03,11.27
Lm-2,0.01,13.3
Kas1-1,0.01,10.81
Or-0,0.01,7.83
Pi-0,0.01,8.59
Col-0,0.01,8.09
phyA 211,0.01,12.92
Lm-2,0,14.65
Kas1-1,0,10.33
Or-0,0,11.74
Pi-0,0,12.78
Col-0,0,10.43
phyA 211,0,6.91
Lm-2,19,1.48
Kas1-1,19,1.61
Or-0,19,1.07
Pi-0,19,0.83
Col-0,19,1
phyA 211,19,11.02
Lm-2,4.9,3.77
Kas1-1,4.9,2.02
Or-0,4.9,0.78
Pi-0,4.9,0.74
Col-0,4.9,0.92
phyA 211,4.9,11.96
Lm-2,1.2,12.05
Kas1-1,1.2,2.56
Or-0,1.2,0.89
Pi-0,1.2,1.93
Col-0,1.2,1.65
phyA 211,1.2,10.37
Lm-2,0.44,13.9
Kas1-1,0.44,5.83
Or-0,0.44,2.22
Pi-0,0.44,3.43
Col-0,0.44,3.62
phyA 211,0.44,12.86
Lm-2,0.14,11.44
Kas1-1,0.14,8.06
Or-0,0.14,6.07
Pi-0,0.14,6.29
Col-0,0.14,7.59
phyA 211,0.14,11.8
Lm-2,0.03,12.26
Kas1-1,0.03,9.21
Or-0,0.03,7.9
Pi-0,0.03,10.3
Col-0,0.03,7.48
phyA 211,0.03,11.95
Lm-2,0.01,12.79
Kas1-1,0.01,8.15
Or-0,0.01,8.57
Pi-0,0.01,10.5
Col-0,0.01,5.94
phyA 211,0.01,10.33
Lm-2,0,15
Kas1-1,0,10.51
Or-0,0,11.25
Pi-0,0,12.11
Col-0,0,10
phyA 211,0,13.89
Lm-2,19,1.31
Kas1-1,19,1.18
Or-0,19,0.99
Pi-0,19,0.83
Col-0,19,0.86
phyA 211,19,11.01
Lm-2,4.9,2.9
Kas1-1,4.9,2.34
Or-0,4.9,0.81
Pi-0,4.9,1.19
Col-0,4.9,1.16
phyA 211,4.9,10.55
Lm-2,1.2,8.92
Kas1-1,1.2,3.02
Or-0,1.2,1.09
Pi-0,1.2,1.39
Col-0,1.2,1.81
phyA 211,1.2,9.75
Lm-2,0.44,12
Kas1-1,0.44,7.22
Or-0,0.44,2.48
Pi-0,0.44,3.26
Col-0,0.44,3.41
phyA 211,0.44,11.87
Lm-2,0.14,13.83
Kas1-1,0.14,8.68
Or-0,0.14,6.65
Pi-0,0.14,7.67
Col-0,0.14,6.74
phyA 211,0.14,14.22
Lm-2,0.03,11.7
