genotype,concentration,length
Or-0,0,NA
Pi-0,0,NA
Col-0,0,10.24
phyA 211,0,11.65
Lm-2,19,1.98
Kas1-1,19,1.59
Or-0,19,NA
Pi-0,19,0.94
Col-0,19,0.78
phyA 211,19,11.06
Lm-2,4.9,2.41
Kas1-1,4.9,NA
Or-0,4.9,0.9
Pi-0,4.9,NA
Col-0,4.9,0.73
phyA 211,4.9,9.96
Lm-2,1.2,8.94
Kas1-1,1.2,1.65
Or-0,1.2,1.59
Pi-0,1.2,2.18
Col-0,1.2,0.86
phyA 211,1.2,9.49
Lm-2,0.44,11.58
Kas1-1,0.44,NA
Or-0,0.44,2.4
Pi-0,0.44,2.44
Col-0,0.44,2.39
phyA 211,0.44,11.18
Lm-2,0.14,11.82
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,8.66
Col-0,0.14,8.68
phyA 211,0.14,NA
Lm-2,0.03,13.08
Kas1-1,0.03,NA
Or-0,0.03,7.7
Pi-0,0.03,NA
Col-0,0.03,12.12
phyA 211,0.03,NA
Lm-2,0.01,15.35
Kas1-1,0.01,11.02
Or-0,0.01,NA
Pi-0,0.01,10.43
Col-0,0.01,10.41
phyA 211,0.01,6.61
Lm-2,0,10.34
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,8.67
phyA 211,0,9.2
Lm-2,19,1.64
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,0.67
Col-0,19,0.97
phyA 211,19,NA
Lm-2,4.9,5.55
Kas1-1,4.9,NA
Or-0,4.9,0.72
Pi-0,4.9,NA
Col-0,4.9,0.64
phyA 211,4.9,10.06
Lm-2,1.2,8.95
Kas1-1,1.2,2.3
Or-0,1.2,0.99
Pi-0,1.2,1
Col-0,1.2,1.08
phyA 211,1.2,9.55
Lm-2,0.44,11.68
Kas1-1,0.44,NA
Or-0,0.44,2.54
Pi-0,0.44,3.75
Col-0,0.44,2.75
phyA 211,0.44,NA
Lm-2,0.14,10.91
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,8.59
Col-0,0.14,5.18
phyA 211,0.14,NA
Lm-2,0.03,10.2
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,10
phyA 211,0.03,NA
Lm-2,0.01,8.41
Kas1-1,0.01,11.16
Or-0,0.01,NA
Pi-0,0.01,10.17
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,13.73
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,11.5
phyA 211,0,NA
Lm-2,19,1.89
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,0.86
Col-0,19,1.23
phyA 211,19,NA
Lm-2,4.9,4.21
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,0.75
phyA 211,4.9,12.33
Lm-2,1.2,10.65
Kas1-1,1.2,NA
Or-0,1.2,1.38
Pi-0,1.2,1.02
Col-0,1.2,1.27
phyA 211,1.2,8.5
Lm-2,0.44,9.9
Kas1-1,0.44,NA
Or-0,0.44,2.22
Pi-0,0.44,2.24
Col-0,0.44,2.12
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,4.07
Col-0,0.14,5.25
phyA 211,0.14,NA
Lm-2,0.03,11.51
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,11.49
phyA 211,0.03,NA
Lm-2,0.01,10.37
Kas1-1,0.01,11.1
Or-0,0.01,NA
Pi-0,0.01,10.33
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,14.5
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,2.25
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,0.55
Col-0,19,0.66
phyA 211,19,NA
Lm-2,4.9,4.51
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,0.74
phyA 211,4.9,15.54
Lm-2,1.2,8.75
Kas1-1,1.2,NA
Or-0,1.2,NA
Pi-0,1.2,0.97
Col-0,1.2,0.95
phyA 211,1.2,NA
Lm-2,0.44,NA
Kas1-1,0.44,NA
Or-0,0.44,NA
Pi-0,0.44,2.68
Col-0,0.44,1.32
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,NA
Col-0,0.14,3.75
phyA 211,0.14,NA
Lm-2,0.03,14.63
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,11.49
phyA 211,0.03,NA
Lm-2,0.01,13.91
Kas1-1,0.01,10.95
Or-0,0.01,NA
Pi-0,0.01,12.57
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,NA
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,1.36
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,NA
Col-0,19,0.8
phyA 211,19,NA
Lm-2,4.9,6.29
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,0.98
phyA 211,4.9,10.12
Lm-2,1.2,9.42
Kas1-1,1.2,NA
Or-0,1.2,NA
Pi-0,1.2,1.47
Col-0,1.2,NA
phyA 211,1.2,NA
Lm-2,0.44,NA
Kas1-1,0.44,NA
Or-0,0.44,NA
Pi-0,0.44,2.73
Col-0,0.44,3.88
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,NA
Col-0,0.14,4.34
phyA 211,0.14,NA
Lm-2,0.03,NA
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,10.46
phyA 211,0.03,NA
Lm-2,0.01,14.24
Kas1-1,0.01,NA
Or-0,0.01,NA
Pi-0,0.01,NA
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,NA
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,1.62
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,NA
Col-0,19,0.41
phyA 211,19,NA
Lm-2,4.9,4.33
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,NA
phyA 211,4.9,9.68
Lm-2,1.2,8.05
Kas1-1,1.2,NA
Or-0,1.2,NA
Pi-0,1.2,0.6
Col-0,1.2,NA
phyA 211,1.2,NA
Lm-2,0.44,NA
Kas1-1,0.44,NA
Or-0,0.44,NA
Pi-0,0.44,2.35
Col-0,0.44,3
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,NA
Col-0,0.14,11.28
phyA 211,0.14,NA
Lm-2,0.03,NA
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,NA
phyA 211,0.03,NA
Lm-2,0.01,11.22
Kas1-1,0.01,NA
Or-0,0.01,NA
Pi-0,0.01,NA
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,NA
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,2.07
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,NA
Col-0,19,0.82
phyA 211,19,NA
Lm-2,4.9,5.41
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,NA
phyA 211,4.9,10.41
Lm-2,1.2,8.66
Kas1-1,1.2,NA
Or-0,1.2,NA
Pi-0,1.2,NA
Col-0,1.2,NA
phyA 211,1.2,NA
Lm-2,0.44,NA
Kas1-1,0.44,NA
Or-0,0.44,NA
Pi-0,0.44,3.92
Col-0,0.44,2.92
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,NA
Col-0,0.14,NA
phyA 211,0.14,NA
Lm-2,0.03,NA
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,NA
phyA 211,0.03,NA
Lm-2,0.01,12.99
Kas1-1,0.01,NA
Or-0,0.01,NA
Pi-0,0.01,NA
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,NA
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,1.92
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,NA
Col-0,19,0.88
phyA 211,19,NA
Lm-2,4.9,3.59
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,NA
phyA 211,4.9,13.16
Lm-2,1.2,NA
Kas1-1,1.2,NA
Or-0,1.2,NA
Pi-0,1.2,NA
Col-0,1.2,NA
phyA 211,1.2,NA
Lm-2,0.44,NA
Kas1-1,0.44,NA
Or-0,0.44,NA
Pi-0,0.44,2.57
Col-0,0.44,1.8
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,NA
Col-0,0.14,NA
phyA 211,0.14,NA
Lm-2,0.03,NA
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,NA
phyA 211,0.03,NA
Lm-2,0.01,12.36
Kas1-1,0.01,NA
Or-0,0.01,NA
Pi-0,0.01,NA
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,NA
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,1.86
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,NA
Col-0,19,0.71
phyA 211,19,NA
Lm-2,4.9,4.63
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,NA
phyA 211,4.9,13.34
Lm-2,1.2,NA
Kas1-1,1.2,NA
Or-0,1.2,NA
Pi-0,1.2,NA
Col-0,1.2,NA
phyA 211,1.2,NA
Lm-2,0.44,NA
Kas1-1,0.44,NA
Or-0,0.44,NA
Pi-0,0.44,3.54
Col-0,0.44,3.39
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,NA
Col-0,0.14,NA
phyA 211,0.14,NA
Lm-2,0.03,NA
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,NA
phyA 211,0.03,NA
Lm-2,0.01,NA
Kas1-1,0.01,NA
Or-0,0.01,NA
Pi-0,0.01,NA
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,NA
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,1.45
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,NA
Col-0,19,0.76
phyA 211,19,NA
Lm-2,4.9,4.5
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,NA
phyA 211,4.9,NA
Lm-2,1.2,NA
Kas1-1,1.2,NA
Or-0,1.2,NA
Pi-0,1.2,NA
Col-0,1.2,NA
phyA 211,1.2,NA
Lm-2,0.44,NA
Kas1-1,0.44,NA
Or-0,0.44,NA
Pi-0,0.44,2.35
Col-0,0.44,2.42
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,NA
Col-0,0.14,NA
phyA 211,0.14,NA
Lm-2,0.03,NA
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,NA
phyA 211,0.03,NA
Lm-2,0.01,NA
Kas1-1,0.01,NA
Or-0,0.01,NA
Pi-0,0.01,NA
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,NA
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,2.14
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,NA
Col-0,19,NA
phyA 211,19,NA
Lm-2,4.9,NA
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,NA
phyA 211,4.9,NA
Lm-2,1.2,NA
Kas1-1,1.2,NA
Or-0,1.2,NA
Pi-0,1.2,NA
Col-0,1.2,NA
phyA 211,1.2,NA
Lm-2,0.44,NA
Kas1-1,0.44,NA
Or-0,0.44,NA
Pi-0,0.44,2.27
Col-0,0.44,NA
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,NA
Col-0,0.14,NA
phyA 211,0.14,NA
Lm-2,0.03,NA
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,NA
phyA 211,0.03,NA
Lm-2,0.01,NA
Kas1-1,0.01,NA
Or-0,0.01,NA
Pi-0,0.01,NA
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,NA
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,1.86
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,NA
Col-0,19,NA
phyA 211,19,NA
Lm-2,4.9,NA
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,NA
phyA 211,4.9,NA
Lm-2,1.2,NA
Kas1-1,1.2,NA
Or-0,1.2,NA
Pi-0,1.2,NA
Col-0,1.2,NA
phyA 211,1.2,NA
Lm-2,0.44,NA
Kas1-1,0.44,NA
Or-0,0.44,NA
Pi-0,0.44,2.86
Col-0,0.44,NA
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,NA
Col-0,0.14,NA
phyA 211,0.14,NA
Lm-2,0.03,NA
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,NA
phyA 211,0.03,NA
Lm-2,0.01,NA
Kas1-1,0.01,NA
Or-0,0.01,NA
Pi-0,0.01,NA
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,NA
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,2.08
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,NA
Col-0,19,NA
phyA 211,19,NA
Lm-2,4.9,NA
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,NA
phyA 211,4.9,NA
Lm-2,1.2,NA
Kas1-1,1.2,NA
Or-0,1.2,NA
Pi-0,1.2,NA
Col-0,1.2,NA
phyA 211,1.2,NA
Lm-2,0.44,NA
Kas1-1,0.44,NA
Or-0,0.44,NA
Pi-0,0.44,NA
Col-0,0.44,NA
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,NA
Col-0,0.14,NA
phyA 211,0.14,NA
Lm-2,0.03,NA
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,NA
phyA 211,0.03,NA
Lm-2,0.01,NA
Kas1-1,0.01,NA
Or-0,0.01,NA
Pi-0,0.01,NA
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,NA
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,2.09
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,NA
Col-0,19,NA
phyA 211,19,NA
Lm-2,4.9,NA
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,NA
phyA 211,4.9,NA
Lm-2,1.2,NA
Kas1-1,1.2,NA
Or-0,1.2,NA
Pi-0,1.2,NA
Col-0,1.2,NA
phyA 211,1.2,NA
Lm-2,0.44,NA
Kas1-1,0.44,NA
Or-0,0.44,NA
Pi-0,0.44,NA
Col-0,0.44,NA
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,NA
Col-0,0.14,NA
phyA 211,0.14,NA
Lm-2,0.03,NA
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,NA
phyA 211,0.03,NA
Lm-2,0.01,NA
Kas1-1,0.01,NA
Or-0,0.01,NA
Pi-0,0.01,NA
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,NA
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,1.48
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,NA
Col-0,19,NA
phyA 211,19,NA
Lm-2,4.9,NA
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,NA
phyA 211,4.9,NA
Lm-2,1.2,NA
Kas1-1,1.2,NA
Or-0,1.2,NA
Pi-0,1.2,NA
Col-0,1.2,NA
phyA 211,1.2,NA
Lm-2,0.44,NA
Kas1-1,0.44,NA
Or-0,0.44,NA
Pi-0,0.44,NA
Col-0,0.44,NA
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,NA
Col-0,0.14,NA
phyA 211,0.14,NA
Lm-2,0.03,NA
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,NA
phyA 211,0.03,NA
Lm-2,0.01,NA
Kas1-1,0.01,NA
Or-0,0.01,NA
Pi-0,0.01,NA
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,NA
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,NA
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,NA
Col-0,19,NA
phyA 211,19,NA
Lm-2,4.9,NA
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,NA
phyA 211,4.9,NA
Lm-2,1.2,NA
Kas1-1,1.2,NA
Or-0,1.2,NA
Pi-0,1.2,NA
Col-0,1.2,NA
phyA 211,1.2,NA
Lm-2,0.44,NA
Kas1-1,0.44,NA
Or-0,0.44,NA
Pi-0,0.44,NA
Col-0,0.44,NA
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,NA
Col-0,0.14,NA
phyA 211,0.14,NA
Lm-2,0.03,NA
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,NA
phyA 211,0.03,NA
Lm-2,0.01,NA
Kas1-1,0.01,NA
Or-0,0.01,NA
Pi-0,0.01,NA
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,NA
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,NA
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,NA
Col-0,19,NA
phyA 211,19,NA
Lm-2,4.9,NA
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,NA
phyA 211,4.9,NA
Lm-2,1.2,NA
Kas1-1,1.2,NA
Or-0,1.2,NA
Pi-0,1.2,NA
Col-0,1.2,NA
phyA 211,1.2,NA
Lm-2,0.44,NA
Kas1-1,0.44,NA
Or-0,0.44,NA
Pi-0,0.44,NA
Col-0,0.44,NA
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,NA
Col-0,0.14,NA
phyA 211,0.14,NA
Lm-2,0.03,NA
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,NA
phyA 211,0.03,NA
Lm-2,0.01,NA
Kas1-1,0.01,NA
Or-0,0.01,NA
Pi-0,0.01,NA
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,NA
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,NA
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,NA
Col-0,19,NA
phyA 211,19,NA
Lm-2,4.9,NA
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,NA
phyA 211,4.9,NA
Lm-2,1.2,NA
Kas1-1,1.2,NA
Or-0,1.2,NA
Pi-0,1.2,NA
Col-0,1.2,NA
phyA 211,1.2,NA
Lm-2,0.44,NA
Kas1-1,0.44,NA
Or-0,0.44,NA
Pi-0,0.44,NA
Col-0,0.44,NA
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,NA
Col-0,0.14,NA
phyA 211,0.14,NA
Lm-2,0.03,NA
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,NA
phyA 211,0.03,NA
Lm-2,0.01,NA
Kas1-1,0.01,NA
Or-0,0.01,NA
Pi-0,0.01,NA
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,NA
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,NA
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,NA
Col-0,19,NA
phyA 211,19,NA
Lm-2,4.9,NA
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,NA
phyA 211,4.9,NA
Lm-2,1.2,NA
Kas1-1,1.2,NA
Or-0,1.2,NA
Pi-0,1.2,NA
Col-0,1.2,NA
phyA 211,1.2,NA
Lm-2,0.44,NA
Kas1-1,0.44,NA
Or-0,0.44,NA
Pi-0,0.44,NA
Col-0,0.44,NA
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,NA
Col-0,0.14,NA
phyA 211,0.14,NA
Lm-2,0.03,NA
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,NA
phyA 211,0.03,NA
Lm-2,0.01,NA
Kas1-1,0.01,NA
Or-0,0.01,NA
Pi-0,0.01,NA
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,NA
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,NA
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,NA
Col-0,19,NA
phyA 211,19,NA
Lm-2,4.9,NA
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,NA
phyA 211,4.9,NA
Lm-2,1.2,NA
Kas1-1,1.2,NA
Or-0,1.2,NA
Pi-0,1.2,NA
Col-0,1.2,NA
phyA 211,1.2,NA
Lm-2,0.44,NA
Kas1-1,0.44,NA
Or-0,0.44,NA
Pi-0,0.44,NA
Col-0,0.44,NA
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,NA
Col-0,0.14,NA
phyA 211,0.14,NA
Lm-2,0.03,NA
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,NA
phyA 211,0.03,NA
Lm-2,0.01,NA
Kas1-1,0.01,NA
Or-0,0.01,NA
Pi-0,0.01,NA
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,NA
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,NA
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,NA
Col-0,19,NA
phyA 211,19,NA
Lm-2,4.9,NA
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,NA
phyA 211,4.9,NA
Lm-2,1.2,NA
Kas1-1,1.2,NA
Or-0,1.2,NA
Pi-0,1.2,NA
Col-0,1.2,NA
phyA 211,1.2,NA
Lm-2,0.44,NA
Kas1-1,0.44,NA
Or-0,0.44,NA
Pi-0,0.44,NA
Col-0,0.44,NA
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,NA
Col-0,0.14,NA
phyA 211,0.14,NA
Lm-2,0.03,NA
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,NA
phyA 211,0.03,NA
Lm-2,0.01,NA
Kas1-1,0.01,NA
Or-0,0.01,NA
Pi-0,0.01,NA
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,NA
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,NA
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,NA
Col-0,19,NA
phyA 211,19,NA
Lm-2,4.9,NA
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,NA
phyA 211,4.9,NA
Lm-2,1.2,NA
Kas1-1,1.2,NA
Or-0,1.2,NA
Pi-0,1.2,NA
Col-0,1.2,NA
phyA 211,1.2,NA
Lm-2,0.44,NA
Kas1-1,0.44,NA
Or-0,0.44,NA
Pi-0,0.44,NA
Col-0,0.44,NA
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,NA
Col-0,0.14,NA
phyA 211,0.14,NA
Lm-2,0.03,NA
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,NA
phyA 211,0.03,NA
Lm-2,0.01,NA
Kas1-1,0.01,NA
Or-0,0.01,NA
Pi-0,0.01,NA
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,NA
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,NA
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,NA
Col-0,19,NA
phyA 211,19,NA
Lm-2,4.9,NA
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,NA
phyA 211,4.9,NA
Lm-2,1.2,NA
Kas1-1,1.2,NA
Or-0,1.2,NA
Pi-0,1.2,NA
Col-0,1.2,NA
phyA 211,1.2,NA
Lm-2,0.44,NA
Kas1-1,0.44,NA
Or-0,0.44,NA
Pi-0,0.44,NA
Col-0,0.44,NA
phyA 211,0.44,NA
Lm-2,0.14,NA
Kas1-1,0.14,NA
Or-0,0.14,NA
Pi-0,0.14,NA
Col-0,0.14,NA
phyA 211,0.14,NA
Lm-2,0.03,NA
Kas1-1,0.03,NA
Or-0,0.03,NA
Pi-0,0.03,NA
Col-0,0.03,NA
phyA 211,0.03,NA
Lm-2,0.01,NA
Kas1-1,0.01,NA
Or-0,0.01,NA
Pi-0,0.01,NA
Col-0,0.01,NA
phyA 211,0.01,NA
Lm-2,0,NA
Kas1-1,0,NA
Or-0,0,NA
Pi-0,0,NA
Col-0,0,NA
phyA 211,0,NA
Lm-2,19,NA
Kas1-1,19,NA
Or-0,19,NA
Pi-0,19,NA
Col-0,19,NA
phyA 211,19,NA
Lm-2,4.9,NA
Kas1-1,4.9,NA
Or-0,4.9,NA
Pi-0,4.9,NA
Col-0,4.9,NA
phyA 211,4.9,NA
Lm-2,1.2,NA
Kas1-1,1.2,NA
