genotype,concentration,length
Se-0,0.12,NA
Ge-0,0.12,NA
Te-0,0.12,NA
Mt-0,0.12,NA
Col-0,0.12,NA
hy4,0.12,NA
Se-0,0.09,NA
Ge-0,0.09,8.56
Te-0,0.09,NA
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,NA
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,NA
Col-0,0,NA
hy4,0,NA
Se-0,37,NA
Ge-0,37,5.06
Te-0,37,NA
Mt-0,37,NA
Col-0,37,NA
hy4,37,7.06
Se-0,21,NA
Ge-0,21,5.95
Te-0,21,NA
Mt-0,21,NA
Col-0,21,NA
hy4,21,7.27
Se-0,3.9,NA
Ge-0,3.9,NA
Te-0,3.9,NA
Mt-0,3.9,NA
Col-0,3.9,NA
hy4,3.9,4.74
Se-0,0.74,NA
Ge-0,0.74,NA
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,NA
hy4,0.74,NA
Se-0,0.12,NA
Ge-0,0.12,NA
Te-0,0.12,NA
Mt-0,0.12,NA
Col-0,0.12,NA
hy4,0.12,NA
Se-0,0.09,NA
Ge-0,0.09,NA
Te-0,0.09,NA
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,NA
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,NA
Col-0,0,NA
hy4,0,NA
Se-0,37,NA
Ge-0,37,4.94
Te-0,37,NA
Mt-0,37,NA
Col-0,37,NA
hy4,37,5.28
Se-0,21,NA
Ge-0,21,4.74
Te-0,21,NA
Mt-0,21,NA
Col-0,21,NA
hy4,21,5.08
Se-0,3.9,NA
Ge-0,3.9,NA
Te-0,3.9,NA
Mt-0,3.9,NA
Col-0,3.9,NA
hy4,3.9,4.85
Se-0,0.74,NA
Ge-0,0.74,NA
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,NA
hy4,0.74,NA
Se-0,0.12,NA
Ge-0,0.12,NA
Te-0,0.12,NA
Mt-0,0.12,NA
Col-0,0.12,NA
hy4,0.12,NA
Se-0,0.09,NA
Ge-0,0.09,NA
Te-0,0.09,NA
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,NA
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,NA
Col-0,0,NA
hy4,0,NA
Se-0,37,NA
Ge-0,37,6.03
Te-0,37,NA
Mt-0,37,NA
Col-0,37,NA
hy4,37,4.21
Se-0,21,NA
Ge-0,21,5.88
Te-0,21,NA
Mt-0,21,NA
Col-0,21,NA
hy4,21,4.43
Se-0,3.9,NA
Ge-0,3.9,NA
Te-0,3.9,NA
Mt-0,3.9,NA
Col-0,3.9,NA
hy4,3.9,5.91
Se-0,0.74,NA
Ge-0,0.74,NA
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,NA
hy4,0.74,NA
Se-0,0.12,NA
Ge-0,0.12,NA
Te-0,0.12,NA
Mt-0,0.12,NA
Col-0,0.12,NA
hy4,0.12,NA
Se-0,0.09,NA
Ge-0,0.09,NA
Te-0,0.09,NA
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,NA
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,NA
Col-0,0,NA
hy4,0,NA
Se-0,37,NA
Ge-0,37,5.12
Te-0,37,NA
Mt-0,37,NA
Col-0,37,NA
hy4,37,8.14
Se-0,21,NA
Ge-0,21,5.3
Te-0,21,NA
Mt-0,21,NA
Col-0,21,NA
hy4,21,5.2
Se-0,3.9,NA
Ge-0,3.9,NA
Te-0,3.9,NA
Mt-0,3.9,NA
Col-0,3.9,NA
hy4,3.9,3.97
Se-0,0.74,NA
Ge-0,0.74,NA
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,NA
hy4,0.74,NA
Se-0,0.12,NA
Ge-0,0.12,NA
Te-0,0.12,NA
Mt-0,0.12,NA
Col-0,0.12,NA
hy4,0.12,NA
Se-0,0.09,NA
Ge-0,0.09,NA
Te-0,0.09,NA
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,NA
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,NA
Col-0,0,NA
hy4,0,NA
Se-0,37,NA
Ge-0,37,NA
Te-0,37,NA
Mt-0,37,NA
Col-0,37,NA
hy4,37,6.33
Se-0,21,NA
Ge-0,21,3.2
Te-0,21,NA
Mt-0,21,NA
Col-0,21,NA
hy4,21,NA
Se-0,3.9,NA
Ge-0,3.9,NA
Te-0,3.9,NA
Mt-0,3.9,NA
Col-0,3.9,NA
hy4,3.9,NA
Se-0,0.74,NA
Ge-0,0.74,NA
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,NA
hy4,0.74,NA
Se-0,0.12,NA
Ge-0,0.12,NA
Te-0,0.12,NA
Mt-0,0.12,NA
Col-0,0.12,NA
hy4,0.12,NA
Se-0,0.09,NA
Ge-0,0.09,NA
Te-0,0.09,NA
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,NA
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,NA
Col-0,0,NA
hy4,0,NA
Se-0,37,NA
Ge-0,37,NA
Te-0,37,NA
Mt-0,37,NA
Col-0,37,NA
hy4,37,5.61
Se-0,21,NA
Ge-0,21,5.43
Te-0,21,NA
Mt-0,21,NA
Col-0,21,NA
hy4,21,NA
Se-0,3.9,NA
Ge-0,3.9,NA
Te-0,3.9,NA
Mt-0,3.9,NA
Col-0,3.9,NA
hy4,3.9,NA
Se-0,0.74,NA
Ge-0,0.74,NA
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,NA
hy4,0.74,NA
Se-0,0.12,NA
Ge-0,0.12,NA
Te-0,0.12,NA
Mt-0,0.12,NA
Col-0,0.12,NA
hy4,0.12,NA
Se-0,0.09,NA
Ge-0,0.09,NA
Te-0,0.09,NA
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,NA
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,NA
Col-0,0,NA
hy4,0,NA
Se-0,37,NA
Ge-0,37,NA
Te-0,37,NA
Mt-0,37,NA
Col-0,37,NA
hy4,37,6.56
Se-0,21,NA
Ge-0,21,4.14
Te-0,21,NA
Mt-0,21,NA
Col-0,21,NA
hy4,21,NA
Se-0,3.9,NA
Ge-0,3.9,NA
Te-0,3.9,NA
Mt-0,3.9,NA
Col-0,3.9,NA
hy4,3.9,NA
Se-0,0.74,NA
Ge-0,0.74,NA
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,NA
hy4,0.74,NA
Se-0,0.12,NA
Ge-0,0.12,NA
Te-0,0.12,NA
Mt-0,0.12,NA
Col-0,0.12,NA
hy4,0.12,NA
Se-0,0.09,NA
Ge-0,0.09,NA
Te-0,0.09,NA
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,NA
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,NA
Col-0,0,NA
hy4,0,NA
Se-0,37,NA
Ge-0,37,NA
Te-0,37,NA
Mt-0,37,NA
Col-0,37,NA
hy4,37,NA
Se-0,21,NA
Ge-0,21,NA
Te-0,21,NA
Mt-0,21,NA
Col-0,21,NA
hy4,21,NA
Se-0,3.9,NA
Ge-0,3.9,NA
Te-0,3.9,NA
Mt-0,3.9,NA
Col-0,3.9,NA
hy4,3.9,NA
Se-0,0.74,NA
Ge-0,0.74,NA
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,NA
hy4,0.74,NA
Se-0,0.12,NA
Ge-0,0.12,NA
Te-0,0.12,NA
Mt-0,0.12,NA
Col-0,0.12,NA
hy4,0.12,NA
Se-0,0.09,NA
Ge-0,0.09,NA
Te-0,0.09,NA
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,NA
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,NA
Col-0,0,NA
hy4,0,NA
Se-0,37,NA
Ge-0,37,NA
Te-0,37,NA
Mt-0,37,NA
Col-0,37,NA
hy4,37,NA
Se-0,21,NA
Ge-0,21,NA
Te-0,21,NA
Mt-0,21,NA
Col-0,21,NA
hy4,21,NA
Se-0,3.9,NA
Ge-0,3.9,NA
Te-0,3.9,NA
Mt-0,3.9,NA
Col-0,3.9,NA
hy4,3.9,NA
Se-0,0.74,NA
Ge-0,0.74,NA
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,NA
hy4,0.74,NA
Se-0,0.12,NA
Ge-0,0.12,NA
Te-0,0.12,NA
Mt-0,0.12,NA
Col-0,0.12,NA
hy4,0.12,NA
Se-0,0.09,NA
Ge-0,0.09,NA
Te-0,0.09,NA
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,NA
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,NA
Col-0,0,NA
hy4,0,NA
Se-0,37,NA
Ge-0,37,NA
Te-0,37,NA
Mt-0,37,NA
Col-0,37,NA
hy4,37,NA
Se-0,21,NA
Ge-0,21,NA
Te-0,21,NA
Mt-0,21,NA
Col-0,21,NA
hy4,21,NA
Se-0,3.9,NA
Ge-0,3.9,NA
Te-0,3.9,NA
Mt-0,3.9,NA
Col-0,3.9,NA
hy4,3.9,NA
Se-0,0.74,NA
Ge-0,0.74,NA
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,NA
hy4,0.74,NA
Se-0,0.12,NA
Ge-0,0.12,NA
Te-0,0.12,NA
Mt-0,0.12,NA
Col-0,0.12,NA
hy4,0.12,NA
Se-0,0.09,NA
Ge-0,0.09,NA
Te-0,0.09,NA
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,NA
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,NA
Col-0,0,NA
hy4,0,NA
Se-0,37,NA
Ge-0,37,NA
Te-0,37,NA
Mt-0,37,NA
Col-0,37,NA
hy4,37,NA
Se-0,21,NA
Ge-0,21,NA
Te-0,21,NA
Mt-0,21,NA
Col-0,21,NA
hy4,21,NA
Se-0,3.9,NA
Ge-0,3.9,NA
Te-0,3.9,NA
Mt-0,3.9,NA
Col-0,3.9,NA
hy4,3.9,NA
Se-0,0.74,NA
Ge-0,0.74,NA
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,NA
hy4,0.74,NA
Se-0,0.12,NA
Ge-0,0.12,NA
Te-0,0.12,NA
Mt-0,0.12,NA
Col-0,0.12,NA
hy4,0.12,NA
Se-0,0.09,NA
Ge-0,0.09,NA
Te-0,0.09,NA
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,NA
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,NA
Col-0,0,NA
hy4,0,NA
Se-0,37,NA
Ge-0,37,NA
Te-0,37,NA
Mt-0,37,NA
Col-0,37,NA
hy4,37,NA
Se-0,21,NA
Ge-0,21,NA
Te-0,21,NA
Mt-0,21,NA
Col-0,21,NA
hy4,21,NA
Se-0,3.9,NA
Ge-0,3.9,NA
Te-0,3.9,NA
Mt-0,3.9,NA
Col-0,3.9,NA
hy4,3.9,NA
Se-0,0.74,NA
Ge-0,0.74,NA
Te-0,0.74,NA
Mt-0,0.74,NA
Col-0,0.74,NA
hy4,0.74,NA
Se-0,0.12,NA
Ge-0,0.12,NA
Te-0,0.12,NA
Mt-0,0.12,NA
Col-0,0.12,NA
hy4,0.12,NA
Se-0,0.09,NA
Ge-0,0.09,NA
Te-0,0.09,NA
Mt-0,0.09,NA
Col-0,0.09,NA
hy4,0.09,NA
Se-0,0,NA
Ge-0,0,NA
Te-0,0,NA
Mt-0,0,NA
Col-0,0,NA
hy4,0,NA
